Certains	PRO:IND	certain
ont	VER:pres	avoir
baissé	VER:pper	baisser
leur	DET:POS	leur
cachet	NOM	cachet
,	PUN	,
d’autres	ADJ	d’autres
ont	VER:pres	avoir
joué	VER:pper	jouer
gratuitement	ADV	gratuitement
.	SENT	.
Musiques	NOM	musique
Métisses	NAM	Métisses
a	VER:pres	avoir
pris	VER:pper	prendre
cette	PRO:DEM	ce
année	NOM	année
des	PRP:det	du
allures	NOM	allure
de	PRP	de
concert	NOM	concert
caritatif	ADJ	caritatif
.	SENT	.
Les	DET:ART	le
artistes	NOM	artiste
sont	VER:pres	être
venus	VER:pper	venir
porter	VER:infi	porter
secours	NOM	secours
et	KON	et
assistance	NOM	assistance
à	PRP	à
un	DET:ART	un
festival	NOM	festival
en	PRP	en
danger	NOM	danger
,	PUN	,
dont	PRO:REL	dont
la	DET:ART	le
41e	ADJ	41e
édition	NOM	édition
a	VER:pres	avoir
finalement	ADV	finalement
pu	VER:pper	pouvoir
se	PRO:PER	se
tenir	VER:infi	tenir
,	PUN	,
à	PRP	à
Angoulême	NAM	Angoulême
(	PUN	(
Charente	NAM	Charente
)	PUN	)
,	PUN	,
les	DET:ART	le
14	NUM	@card@
et	KON	et
15	NUM	@card@
mai	NOM	mai
.	SENT	.
Malgré	PRP	malgré
l’annonce	NOM	l’annonce
,	PUN	,
fin	NOM	fin
2015	NUM	@card@
,	PUN	,
du	PRP:det	du
dépôt	NOM	dépôt
de	PRP	de
bilan	NOM	bilan
de	PRP	de
cet	PRO:DEM	ce
emblème	NOM	emblème
des	PRP:det	du
musiques	NOM	musique
du	PRP:det	du
monde	NOM	monde
,	PUN	,
en	PRP	en
rupture	NOM	rupture
de	PRP	de
trésorerie	NOM	trésorerie
avec	PRP	avec
un	DET:ART	un
déficit	NOM	déficit
cumulé	VER:pper	cumuler
de	PRP	de
140	NUM	@card@
000	NUM	@card@
euros	NOM	euro
sur	PRP	sur
trois	NUM	trois
exercices	NOM	exercice
et	KON	et
que	KON	que
la	DET:ART	le
Ville	NAM	Ville
et	KON	et
le	DET:ART	le
Département	NOM	département
(	PUN	(
revenu	VER:pper	revenir
autour	ADV	autour
de	PRP	de
la	DET:ART	le
table	NOM	table
des	PRP:det	du
subventionneurs	NOM	subventionneurs
,	PUN	,
depuis	PRP	depuis
)	PUN	)
décidaient	VER:impf	décider
de	PRP	de
ne	ADV	ne
plus	ADV	plus
accompagner	VER:infi	accompagner
.	SENT	.
